gene,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated,label
AAK1,3,-0.1323656358811842,0.6666666666666666,0.1556101946812106,0.0,0.0441218786270613,0,0
ABCC12,3,-0.823728592211697,1.0,2.6357246739019636e-05,0.3333333333333333,0.6864404935097475,1,1
ABCD4,3,0.5299572284589207,1.0,0.005753245639479,0.0,0.2649786142294603,1,1
ACSL6,3,-0.5839895152948502,1.0,0.0007458299482065,0.0,0.2919947576474251,1,1
ADAM11,3,-0.6108478658300376,1.0,0.0023829143536041,0.0,0.3054239329150188,1,1
ADAMTS2,3,0.8656690105555511,1.0,0.0088987778603084,0.3333333333333333,0.7213908421296259,1,1
ADRA1B,3,-0.5084535650347393,1.0,0.0046162758357438,0.0,0.2542267825173696,1,1
AKR1B1,3,0.1259270806733532,0.6666666666666666,0.8745209138389025,0.0,0.0419756935577843,0,0
ALDH3B1,3,0.119768411754872,1.0,0.8416143390305327,0.0,0.059884205877436,0,0
ANGPTL4,3,0.1718709611961726,0.6666666666666666,0.147084785822251,0.0,0.0572903203987242,0,0
ANKRD36B,3,-0.0100481359473425,0.6666666666666666,0.8972850331047472,0.0,0.0033493786491141,0,0
ARL4D,3,-0.7207203016373466,1.0,0.0001413680281844,0.0,0.3603601508186733,1,1
ARMC5,3,0.006075449524646,0.6666666666666666,0.5487626890284925,0.0,0.0020251498415486,0,0
BDNF,3,-0.7005871131380594,1.0,0.003674649622338,0.3333333333333333,0.5838225942817161,1,1
BEX5,3,-0.6477491768298465,1.0,0.0003685511290932,0.3333333333333333,0.5397909806915386,1,1
CA2,3,0.5230870111641419,1.0,0.0091103708175644,0.0,0.2615435055820709,1,1
CCDC142,3,0.1070661528719156,1.0,0.0595049780232747,0.0,0.0535330764359578,0,0
CEND1,3,-0.6685435145607768,1.0,0.0040994876782954,0.3333333333333333,0.5571195954673139,1,1
CMAS,3,-0.3211072299413722,0.6666666666666666,0.1426258489887988,0.0,0.1070357433137907,0,0
COL12A1,3,-0.5667024366252562,1.0,0.0019925816404517,0.3333333333333333,0.4722520305210468,1,1
CPM,3,0.707883304559652,1.0,0.0008664108142573,0.3333333333333333,0.5899027537997099,1,1
CRH,3,-1.036925261482761,1.0,0.0002661564775102,0.3333333333333333,0.8641043845689675,1,1
CSF1,3,0.7460248745297351,1.0,0.0033970653980611,0.0,0.3730124372648675,1,1
CYBRD1,3,0.1872082648690654,0.6666666666666666,0.6509951350581917,0.0,0.0624027549563551,0,0
DDI1,3,-0.11510277847911,0.6666666666666666,0.5679818040523117,0.0,0.03836759282637,0,0
DIRAS1,3,-0.7235824188486291,1.0,0.0052414598364815,0.0,0.3617912094243145,1,1
DPP6,3,-0.5130071940484413,1.0,0.0089005158901476,0.0,0.2565035970242206,1,1
DTX3,3,-0.0785573907826364,0.6666666666666666,0.374139623905904,0.0,0.0261857969275454,0,0
