study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE163877,DDX11L1,0.2610732514035039,0.4660901579131977,0.9989310620241132,3,4,ENSG00000223972
GSE163877,ANAPC5,0.1667307396863444,0.5227469193489895,0.9989310620241132,3,4,ENSG00000089053
GSE163877,CAMKK2,-0.7141002900744731,0.1256275664113517,0.9989310620241132,3,4,ENSG00000110931
GSE163877,P2RX4,0.0510527441483543,0.7476262298285105,0.9989310620241132,3,4,ENSG00000135124
GSE163877,P2RX7,0.528166356429534,0.3027248330679721,0.9989310620241132,3,4,ENSG00000089041
GSE163877,OASL,0.1587880158215678,0.3713741982852035,0.9989310620241132,3,4,ENSG00000135114
GSE163877,C12orf43,-0.3545997398835099,0.1626812002600431,0.9989310620241132,3,4,ENSG00000157895
GSE163877,HNF1A,-0.0455681070923337,0.6624837618007979,0.9989310620241132,3,4,ENSG00000135100
GSE163877,HNF1A-AS1,0.0426076418141414,0.7652551725738744,0.9989310620241132,3,4,ENSG00000241388
GSE163877,RPL12P33,-0.3026646570251506,0.4391410598820272,0.9989310620241132,3,4,ENSG00000244585
GSE163877,CLIC1P1,0.2826475675058947,0.0476823306945614,0.9989310620241132,3,4,ENSG00000231313
GSE163877,SPPL3,-0.0858507144301743,0.6757773898349111,0.9989310620241132,3,4,ENSG00000157837
GSE163877,ACADS,-0.327450881339165,0.3779284247117141,0.9989310620241132,3,4,ENSG00000122971
GSE163877,UNC119B,0.2688132412207267,0.3603843970545922,0.9989310620241132,3,4,ENSG00000175970
GSE163877,RPL31P52,0.0279283937592506,0.8312530349326156,0.9989310620241132,3,4,ENSG00000219355
GSE163877,SRSF9,0.1392743897548789,0.6856345909559263,0.9989310620241132,3,4,ENSG00000111786
GSE163877,DYNLL1,0.067721357277648,0.8182197674999185,0.9989310620241132,3,4,ENSG00000088986
GSE163877,NRAV,-0.1860681119885461,0.6035429991329031,0.9989310620241132,3,4,ENSG00000248008
GSE163877,COQ5,0.1815928556927168,0.5261128715053557,0.9989310620241132,3,4,ENSG00000110871
GSE163877,RNF34,-0.2668981394945091,0.3493772873895036,0.9989310620241132,3,4,ENSG00000170633
GSE163877,Y_RNA,0.0707083090903473,0.8809293778856886,0.9989310620241132,3,4,ENSG00000222601
GSE163877,RNF10,-0.1894153827613811,0.3790960549088184,0.9989310620241132,3,4,ENSG00000022840
GSE163877,POP5,-0.1256649103078573,0.7405136539513382,0.9989310620241132,3,4,ENSG00000167272
GSE163877,RPL11P5,-0.0496852215012106,0.8438725673148469,0.9989310620241132,3,4,ENSG00000242137
GSE163877,CABP1-DT,-0.2238168014094257,0.53733488559825,0.9989310620241132,3,4,ENSG00000256008
GSE163877,CABP1,0.1637971422655511,0.6326623876494908,0.9989310620241132,3,4,ENSG00000157782
GSE163877,MLEC,0.0962038289724276,0.4957796377092917,0.9989310620241132,3,4,ENSG00000110917
GSE163877,RPL29P24,0.0227405823779228,0.9245663155259004,0.9989310620241132,3,4,ENSG00000241030
GSE163877,GATC,0.1532012490969792,0.5990647113313781,0.9989310620241132,3,4,ENSG00000257218
GSE163877,KDM2B,-0.2246416993813373,0.110201204624919,0.9989310620241132,3,4,ENSG00000089094
GSE163877,ORAI1,0.6438713085228618,0.2583741761202721,0.9989310620241132,3,4,ENSG00000276045
GSE163877,VPS37B,0.1057777288237713,0.7245851162209125,0.9989310620241132,3,4,ENSG00000139722
GSE163877,HIP1R,0.0167548862948354,0.960249277355055,0.9989310620241132,3,4,ENSG00000130787
GSE163877,CCDC62,0.2872630186054286,0.2649382443779574,0.9989310620241132,3,4,ENSG00000130783
GSE163877,DENR,-0.0906955864391809,0.504451210906716,0.9989310620241132,3,4,ENSG00000139726
