gene,median_log2fc,combined_p,significant_fraction,evidence_score,gene_name,gene_type,aliases,gene_summary,go_terms,pathways,known_ad_evidence,ad_evidence_type,amyloid_related,tau_related,neuroinflammation_related,synaptic_related,rna_processing_related,literature_notes
VGF,-2.0929046703202907,5.939818476661909e-06,0.3333333333333333,1.7440872252669088,VGF nerve growth factor inducible,protein-coding,SCG7; SgVII,"This gene is specifically expressed in a subpopulation of neuroendocrine cells, and is upregulated by nerve growth factor. The structural organization of this gene is similar to that of the rat gene, and both the translated and the untranslated regions show a high degree of sequence similarity to the rat gene. The encoded secretory protein also shares similarities with the secretogranin/chromogranin family, however, its exact function is not known. [provided by RefSeq, Jul 2008].",Golgi apparatus; cytoplasmic vesicle; endoplasmic reticulum lumen; extracellular region; neuropeptide hormone activity; regulation of neuronal synaptic plasticity; response to cAMP; signal transduction; synapse; synaptic signaling via neuropeptide; transport vesicle,reactome: Metabolism of proteins; reactome: NGF-stimulated transcription; reactome: Nuclear Events (kinase and transcription factor activation); reactome: Post-translational protein modification; reactome: Post-translational protein phosphorylation; reactome: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); reactome: Signal Transduction; reactome: Signaling by NTRK1 (TRKA); reactome: Signaling by NTRKs; reactome: Signaling by Receptor Tyrosine Kinases,,,,,,,,
RPH3A,-1.5832182897068794,5.157783410583074e-06,0.3333333333333333,1.3193485747557328,rabphilin 3A,protein-coding,,"The protein encoded by this gene is thought to be an effector for RAB3A, which is a small G protein that acts in the late stages of neurotransmitter exocytosis. The encoded protein may be involved in neurotransmitter release and synaptic vesicle traffic. [provided by RefSeq, Dec 2016].","calcium ion binding; calcium-dependent activation of synaptic vesicle fusion; calcium-dependent phospholipid binding; dendritic spine; extrinsic component of membrane; extrinsic component of synaptic vesicle membrane; inositol 1,4,5 trisphosphate binding; intracellular protein transport; membrane; neuron projection; phosphate ion binding; phosphatidylinositol phosphate binding; phosphatidylinositol-4,5-bisphosphate binding; positive regulation of calcium ion-dependent exocytosis; postsynaptic membrane; protein binding; protein-containing complex; protein-containing complex binding; secretory granule; selenium binding; small GTPase binding; synapse; synaptic vesicle; synaptic vesicle membrane; synaptic vesicle priming; zinc ion binding",wikipathways: Deregulation of Rab and Rab Effector Genes in Bladder Cancer; wikipathways: Disruption of postsynaptic signaling by CNV,,,,,,,,
NEUROD6,-1.4229184371828634,5.721513915920362e-05,0.3333333333333333,1.1857653643190529,neuronal differentiation 6,protein-coding,Atoh2; MATH2; Math-2; NEX1M; Nex1; bHLHa2,"This gene is a member of the NEUROD family of basic helix-loop-helix transcription factors. The encoded protein may be involved in the development and differentiation of the nervous system. [provided by RefSeq, Nov 2012].","DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; E-box binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; axon development; chromatin; nervous system development; nucleus; positive regulation of transcription by RNA polymerase II; protein dimerization activity; regulation of DNA-templated transcription; sensory organ development",,,,,,,,,
FKBP5,1.20251965462713,0.0034837466156288,0.3333333333333333,1.002099712189275,FKBP prolyl isomerase 5,protein-coding,AIG6; FKBP51; FKBP54; P54; PPIase; Ptg-10,"The protein encoded by this gene is a member of the immunophilin protein family, which play a role in immunoregulation and basic cellular processes involving protein folding and trafficking. This encoded protein is a cis-trans prolyl isomerase that binds to the immunosuppressants FK506 and rapamycin. It is thought to mediate calcineurin inhibition. It also interacts functionally with mature hetero-oligomeric progesterone receptor complexes along with the 90 kDa heat shock protein and P23 protein. This gene has been found to have multiple polyadenylation sites. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Mar 2009].",FK506 binding; cytoplasm; cytosol; extracellular exosome; heat shock protein binding; membrane; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; nucleus; peptidyl-prolyl cis-trans isomerase activity; protein binding; protein folding; protein-macromolecule adaptor activity,kegg: Estrogen signaling pathway - Homo sapiens (human); netpath: TNFalpha; pid: Glucocorticoid receptor regulatory network; reactome: Cellular responses to stimuli; reactome: Cellular responses to stress; reactome: Cytokine Signaling in Immune system; reactome: ESR-mediated signaling; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; reactome: Immune System; reactome: Interferon Signaling; reactome: MECP2 regulates neuronal receptors and channels; reactome: Modulation of host responses by IFN-stimulated genes; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by Nuclear Receptors; reactome: Transcriptional Regulation by MECP2; wikipathways: Farnesoid X receptor pathway; wikipathways: MECP2 and Associated Rett Syndrome; wikipathways: Nuclear Receptors Meta-Pathway,,,,,,,,
PPEF1,-1.046326136212511,0.0007226113136796,0.3333333333333333,0.871938446843759,protein phosphatase with EF-hand domain 1,protein-coding,PP7; PPEF; PPP7C; PPP7CA,"This gene encodes a member of the serine/threonine protein phosphatase with EF-hand motif family. The protein contains a protein phosphatase catalytic domain, and at least two EF-hand calcium-binding motifs in its C terminus. Although its substrate(s) is unknown, the encoded protein has been suggested to play a role in specific sensory neuron function and/or development. This gene shares high sequence similarity with the Drosophila retinal degeneration C (rdgC) gene. Several alternatively spliced transcript variants, each encoding a distinct isoform, have been described. [provided by RefSeq, Jul 2008].",calcium ion binding; cytosol; detection of stimulus involved in sensory perception; hydrolase activity; iron ion binding; manganese ion binding; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator; nucleus; phosphoprotein phosphatase activity; positive regulation of proteasomal protein catabolic process; protein binding; protein serine/threonine phosphatase activity,"reactome: Inactivation, recovery and regulation of the phototransduction cascade; reactome: Sensory Perception; reactome: The phototransduction cascade; reactome: Visual phototransduction",,,,,,,,
CRH,-1.036925261482761,0.0002661564775102,0.3333333333333333,0.8641043845689675,corticotropin releasing hormone,protein-coding,CRF; CRH1,"This gene encodes a member of the corticotropin-releasing factor family. The encoded preproprotein is proteolytically processed to generate the mature neuropeptide hormone. In response to stress, this hormone is secreted by the paraventricular nucleus (PVN) of the hypothalamus, binds to corticotropin releasing hormone receptors and stimulates the release of adrenocorticotropic hormone from the pituitary gland. Marked reduction in this protein has been observed in association with Alzheimer's disease. Autosomal recessive hypothalamic corticotropin deficiency has multiple and potentially fatal metabolic consequences including hypoglycemia and hepatitis. In addition to production in the hypothalamus, this protein is also synthesized in peripheral tissues, such as T lymphocytes, and is highly expressed in the placenta. In the placenta it is a marker that determines the length of gestation and the timing of parturition and delivery. A rapid increase in circulating levels of the hormone occurs at the onset of parturition, suggesting that, in addition to its metabolic functions, this protein may act as a trigger for parturition. [provided by RefSeq, Nov 2015].","chemical synaptic transmission; corticotropin-releasing hormone activity; corticotropin-releasing hormone receptor 1 binding; corticotropin-releasing hormone receptor 2 binding; extracellular region; female pregnancy; general adaptation syndrome; hormone activity; learning or memory; negative regulation of circadian sleep/wake cycle, REM sleep; neuronal cell body; neuropeptide hormone activity; neuropeptide signaling pathway; parturition; positive regulation of circadian sleep/wake cycle, wakefulness; positive regulation of corticotropin secretion; positive regulation of cortisol secretion; protein binding; regulation of NMDA receptor activity; signal transduction; signaling receptor binding; social behavior; synapse; synaptic transmission, dopaminergic",kegg: Alcoholism - Homo sapiens (human); kegg: Cushing syndrome - Homo sapiens (human); kegg: Long-term depression - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); netpath: CRH; reactome: Class B/2 (Secretin family receptors); reactome: G alpha (s) signalling events; reactome: GPCR downstream signalling; reactome: GPCR ligand binding; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: MECP2 regulates transcription of neuronal ligands; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: Transcriptional Regulation by MECP2; wikipathways: Corticotropin-releasing hormone signaling pathway; wikipathways: Myometrial relaxation and contraction pathways; wikipathways: Serotonin and anxiety; wikipathways: Serotonin and anxiety-related events,,,,,,,,
MAS1,-0.9647771907829426,0.0008807607372346,0.3333333333333333,0.8039809923191187,"MAS1 proto-oncogene, G protein-coupled receptor",protein-coding,MAS; MGRA,"This gene encodes a class I seven-transmembrane G-protein-coupled receptor. The encoded protein is a receptor for angiotensin-(1-7) and preferentially couples to the Gq protein, activating the phospholipase C signaling pathway. The encoded protein may play a role in multiple processes including hypotension, smooth muscle relaxation and cardioprotection by mediating the effects of angiotensin-(1-7). [provided by RefSeq, May 2012].",C-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; angiotensin receptor activity; angiotensin type II receptor activity; cell migration; chemokine-mediated signaling pathway; membrane; peptide binding; phospholipase C-activating angiotensin-activated signaling pathway; plasma membrane; protein binding,"kegg: Coronavirus disease - COVID-19 - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); kegg: Renin-angiotensin system - Homo sapiens (human); reactome: Class A/1 (Rhodopsin-like receptors); reactome: GPCR ligand binding; reactome: Peptide ligand-binding receptors; reactome: Signal Transduction; reactome: Signaling by GPCR; wikipathways: ACE Inhibitor Pathway; wikipathways: GPCRs, Class A Rhodopsin-like; wikipathways: SARS-CoV-2 and angiotensin-converting enzyme 2 receptor- molecular mechanisms",,,,,,,,
NRN1,-0.9407119325868752,0.0004677560793853,0.3333333333333333,0.7839266104890626,neuritin 1,protein-coding,NRN; dJ380B8.2,"This gene encodes a member of the neuritin family, and is expressed in postmitotic-differentiating neurons of the developmental nervous system and neuronal structures associated with plasticity in the adult. The expression of this gene can be induced by neural activity and neurotrophins. The encoded protein contains a consensus cleavage signal found in glycosylphoshatidylinositol (GPI)-anchored proteins. The encoded protein promotes neurite outgrowth and arborization, suggesting its role in promoting neuritogenesis. Overexpression of the encoded protein may be associated with astrocytoma progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013].",AMPA glutamate receptor complex; extracellular region; glutamatergic synapse; identical protein binding; nervous system development; neuron projection extension; plasma membrane; presynapse; presynaptic modulation of chemical synaptic transmission; regulation of synapse maturation; synapse,reactome: Metabolism of proteins; reactome: Post-translational modification: synthesis of GPI-anchored proteins; reactome: Post-translational protein modification; wikipathways: IL-18 signaling pathway,,,,,,,,
MCHR1,-0.91366670070362,0.0026369313063369,0.3333333333333333,0.7613889172530166,melanin concentrating hormone receptor 1,protein-coding,GPR24; MCH-1R; MCH1R; SLC-1; SLC1,"The protein encoded by this gene, a member of the G protein-coupled receptor family 1, is an integral plasma membrane protein which binds melanin-concentrating hormone. The encoded protein can inhibit cAMP accumulation and stimulate intracellular calcium flux, and is probably involved in the neuronal regulation of food consumption. Although structurally similar to somatostatin receptors, this protein does not seem to bind somatostatin. [provided by RefSeq, Jul 2008].",9+0 non-motile cilium; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway; ciliary membrane; cilium; energy homeostasis; feeding behavior; generation of precursor metabolites and energy; hormone binding; melanin-concentrating hormone receptor activity; membrane; neuron projection; neuropeptide binding; neuropeptide receptor activity; neuropeptide signaling pathway; non-motile cilium; phospholipase C-activating G protein-coupled receptor signaling pathway; plasma membrane; positive regulation of calcium ion transport; positive regulation of cytosolic calcium ion concentration; protein binding; regulation of feeding behavior; response to stress; signaling receptor binding; sleep,"kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); reactome: Assembly of the 9+0 primary cilium; reactome: BBSome-mediated cargo-targeting to cilium; reactome: Cargo trafficking to the periciliary membrane; reactome: Cilium Assembly; reactome: Class A/1 (Rhodopsin-like receptors); reactome: G alpha (i) signalling events; reactome: G alpha (q) signalling events; reactome: GPCR downstream signalling; reactome: GPCR ligand binding; reactome: Organelle biogenesis and maintenance; reactome: Peptide ligand-binding receptors; reactome: Signal Transduction; reactome: Signaling by GPCR; wikipathways: GPCRs, Class A Rhodopsin-like",,,,,,,,
SCG2,-0.9040129035145216,0.0086170752917527,0.3333333333333333,0.7533440862621013,secretogranin II,protein-coding,CHGC; EM66; SN; SgII,"The protein encoded by this gene is a member of the chromogranin/secretogranin family of neuroendocrine secretory proteins. Studies in rodents suggest that the full-length protein, secretogranin II, is involved in the packaging or sorting of peptide hormones and neuropeptides into secretory vesicles. The full-length protein is cleaved to produce the active peptide secretoneurin, which exerts chemotaxic effects on specific cell types, and EM66, whose function is unknown. [provided by RefSeq, Jul 2008].",MAPK cascade; angiogenesis; chemoattractant activity; cytokine activity; dense core granule; endoplasmic reticulum lumen; endothelial cell migration; eosinophil chemotaxis; extracellular region; induction of positive chemotaxis; inflammatory response; intracellular signal transduction; negative regulation of endothelial cell apoptotic process; negative regulation of endothelial cell proliferation; negative regulation of extrinsic apoptotic signaling pathway; neuronal dense core vesicle; positive chemotaxis; positive regulation of endothelial cell proliferation; protein binding; protein secretion; secretory granule,reactome: Metabolism of proteins; reactome: Post-translational protein modification; reactome: Post-translational protein phosphorylation; reactome: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,,,,,,,
