transcript_id,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated
VGF,3,-2.0929046703202907,1.0,5.939818476661909e-06,0.3333333333333333,1.7440872252669088,1
RPH3A,3,-1.5832182897068794,1.0,5.157783410583074e-06,0.3333333333333333,1.3193485747557328,1
NEAT1,2,1.2661974811632435,1.0,0.00048578946168835983,0.5,1.2661974811632435,1
NEUROD6,3,-1.4229184371828634,1.0,5.721513915920362e-05,0.3333333333333333,1.1857653643190527,1
OTOGL,2,-1.062489628940668,1.0,0.0009029433859115685,0.5,1.062489628940668,1
CCDC184,2,-1.0517135036799288,1.0,0.0003240176339031956,0.5,1.0517135036799288,1
C3orf80,2,-1.0476413429313363,1.0,0.0003181526063057529,0.5,1.0476413429313363,1
FKBP5,3,1.20251965462713,1.0,0.003483746615628879,0.3333333333333333,1.002099712189275,1
LINC00898,2,-0.9180442198104815,1.0,1.2412538841547964e-05,0.5,0.9180442198104815,1
SPTSSB,2,-0.8986501387107162,1.0,8.122857317727709e-05,0.5,0.8986501387107162,1
PPEF1,3,-1.046326136212511,1.0,0.0007226113136796312,0.3333333333333333,0.871938446843759,1
CRH,3,-1.036925261482761,1.0,0.000266156477510246,0.3333333333333333,0.8641043845689675,1
LINC01168,2,-0.8594805963421435,1.0,0.0011427365867692787,0.5,0.8594805963421435,1
MAS1,3,-0.9647771907829426,1.0,0.0008807607372346035,0.3333333333333333,0.8039809923191187,1
NRN1,3,-0.9407119325868752,1.0,0.0004677560793853179,0.3333333333333333,0.7839266104890626,1
C21orf62,2,0.7804092431366103,1.0,0.00017720822126834166,0.5,0.7804092431366103,1
FAM86B3P,2,-0.7791840579826853,1.0,0.0006038457043042259,0.5,0.7791840579826853,1
MCHR1,3,-0.91366670070362,1.0,0.002636931306336912,0.3333333333333333,0.7613889172530166,1
SCG2,3,-0.9040129035145216,1.0,0.00861707529175278,0.3333333333333333,0.7533440862621013,1
NAT16,2,-0.752011399597404,1.0,3.303855095804224e-05,0.5,0.752011399597404,1
SOWAHB,2,-0.7502895568530352,1.0,0.0004394535965223537,0.5,0.7502895568530352,1
RGCC,2,0.7453715113164248,1.0,0.00031255779005239393,0.5,0.7453715113164248,1
GPCPD1,2,-0.7450172069543379,1.0,0.0006937516586047625,0.5,0.7450172069543379,1
CD44,3,1.4765164659179746,1.0,0.03519391758711893,0.0,0.7382582329589873,1
ADAMTS2,3,0.8656690105555511,1.0,0.008898777860308463,0.3333333333333333,0.7213908421296259,1
CLEC18B,2,0.7180862208283587,1.0,0.0025409674743736093,0.5,0.7180862208283587,1
DUSP6,3,-0.8585677226327464,1.0,6.847381093492322e-09,0.3333333333333333,0.7154731021939552,1
SNORA38B,2,0.7055459684465932,1.0,0.0012633170872496482,0.5,0.7055459684465932,1
SST,3,-1.4078638851506282,1.0,0.012919060472600464,0.0,0.7039319425753141,1
ITPKB-IT1,2,0.6920570470196568,1.0,0.0007551569606314212,0.5,0.6920570470196568,1
ABCC12,3,-0.823728592211697,1.0,2.6357246739019636e-05,0.3333333333333333,0.6864404935097475,1
ZBED6,2,0.6628893047676764,1.0,0.0003053681050780604,0.5,0.6628893047676764,1
BEND5,2,-0.6304085113767449,1.0,2.3540584070481797e-05,0.5,0.6304085113767449,1
EGR1,3,-1.2118715911819011,1.0,0.015720075130712826,0.0,0.6059357955909506,1
FAAHP1,2,0.6019675465538802,1.0,0.000648391845431492,0.5,0.6019675465538802,1
CPM,3,0.707883304559652,1.0,0.0008664108142573981,0.3333333333333333,0.5899027537997099,1
SPP1,3,1.1723116763476469,1.0,0.023345201251352338,0.0,0.5861558381738234,1
BDNF,3,-0.7005871131380594,1.0,0.003674649622338006,0.3333333333333333,0.5838225942817161,1
LINC00463,2,0.5831201999904456,1.0,0.0020079504052395976,0.5,0.5831201999904456,1
CAHM,2,0.581421222052997,1.0,0.0017532604243146429,0.5,0.581421222052997,1
SGO1,2,0.5800639463510527,1.0,5.543326574258022e-05,0.5,0.5800639463510527,1
FREM3,2,-1.1404956914547126,1.0,0.018008116707536305,0.0,0.5702478457273563,1
DHRS11,2,-0.5696761279590099,1.0,1.6279625745522832e-05,0.5,0.5696761279590099,1
SMIM10L2B,2,-0.5680402287510107,1.0,0.000716334969237866,0.5,0.5680402287510107,1
CEND1,3,-0.6685435145607768,1.0,0.004099487678295469,0.3333333333333333,0.5571195954673139,1
SERPINA5,3,0.6606237518961269,1.0,0.0003055855104729137,0.3333333333333333,0.5505197932467724,1
RBM48,2,0.5500085611027461,1.0,1.8159129796232841e-06,0.5,0.5500085611027461,1
ATP2B1-AS1,2,-0.5463357193872707,1.0,0.0016602757466797676,0.5,0.5463357193872707,1
BEX5,3,-0.6477491768298465,1.0,0.00036855112909325367,0.3333333333333333,0.5397909806915386,1
PART1,2,-1.0766998707626954,1.0,0.0011920945987501069,0.0,0.5383499353813477,1
KCNV1,3,-1.0723751087017035,1.0,0.046076644954839686,0.0,0.5361875543508517,1
ZNF652,3,0.6383090923877681,1.0,0.007543653164504784,0.3333333333333333,0.5319242436564734,1
KRT5,3,-0.6346358720489372,1.0,0.00023517653991510663,0.3333333333333333,0.5288632267074477,1
GCNT4,3,-0.6285087027133058,1.0,0.011732238874265272,0.3333333333333333,0.5237572522610882,1
C4A,2,1.0388241107547769,1.0,0.015066073925143494,0.0,0.5194120553773884,1
GRASP,2,-0.5082974071376274,1.0,0.0010715072441598984,0.5,0.5082974071376274,1
PTOV1-AS2,2,0.5059454057046426,1.0,0.006125609442779453,0.5,0.5059454057046426,1
PRKX,3,0.6052423695383164,1.0,0.0001338531053882528,0.3333333333333333,0.5043686412819304,1
ERBIN,2,1.0061509151493353,1.0,0.02527949660398273,0.0,0.5030754575746677,1
INHBA-AS1,2,-0.49960162240670203,1.0,0.005735859138309733,0.5,0.49960162240670203,1
JADE3,2,0.49759962197631413,1.0,0.00300168371582118,0.5,0.49759962197631413,1
MAP10,2,-0.495528240303438,1.0,0.000588331494279034,0.5,0.495528240303438,1
ANKRD18DP,2,-0.49309126803369874,1.0,0.00044455119787382486,0.5,0.49309126803369874,1
FAM53B-AS1,2,0.492852734278032,1.0,0.00024226060221697909,0.5,0.492852734278032,1
AQP1,3,0.9788657503745206,1.0,0.01427031619909184,0.0,0.4894328751872603,1
LINC01546,2,0.4890009570785271,1.0,0.0019805794882279794,0.5,0.4890009570785271,1
SNRNP48,2,0.486050601286939,1.0,4.629641702160145e-05,0.5,0.486050601286939,1
EGR4,3,-0.9690765169387948,1.0,0.014674390218620038,0.0,0.4845382584693974,1
LINC01007,2,-0.9671763704511982,1.0,0.00790259214701988,0.0,0.4835881852255991,1
SMIM10L2A,2,-0.4808908348099576,1.0,0.0007118145795546373,0.5,0.4808908348099576,1
C4B,2,0.960743463151575,1.0,0.013684901230725762,0.0,0.4803717315757875,1
FAM182B,2,-0.47766226011224966,1.0,0.0018601558935421266,0.5,0.47766226011224966,1
CCDC144CP,2,0.4760473748064471,1.0,0.001224553199214279,0.5,0.4760473748064471,1
NAA16,2,0.47507532535963914,1.0,6.717281320155766e-05,0.5,0.47507532535963914,1
DUSP27,2,-0.47331756569538475,1.0,0.0010409639649380767,0.5,0.47331756569538475,1
COL12A1,3,-0.5667024366252562,1.0,0.00199258164045179,0.3333333333333333,0.4722520305210468,1
LINC00997,2,0.4712281643042744,1.0,0.0008496844454632693,0.5,0.4712281643042744,1
FIBP,3,-0.5646696147735728,1.0,0.00028351467925498625,0.3333333333333333,0.4705580123113106,1
DUSP4,3,-0.9312507288008364,1.0,0.012897386838037242,0.0,0.4656253644004182,1
TESPA1,2,-0.9215481063697255,1.0,0.04696584118202992,0.0,0.46077405318486275,1
PHF19,3,0.5515909931789547,1.0,0.001945534612960417,0.3333333333333333,0.4596591609824622,1
COL5A2,3,-0.9167600401733642,1.0,0.03455483715240651,0.0,0.4583800200866821,1
BEX3,2,-0.45620961528585635,1.0,0.00013411552105936723,0.5,0.45620961528585635,1
LBX2-AS1,2,0.4557581096445545,1.0,0.0011583490451018042,0.5,0.4557581096445545,1
TPI1P2,2,-0.44642611927835496,1.0,0.0013563973386583603,0.5,0.44642611927835496,1
EFR3B,3,-0.5346195308146546,1.0,0.0013378166173018291,0.3333333333333333,0.4455162756788788,1
PDE10A,3,-0.5308423941319349,1.0,0.00031279533678666446,0.3333333333333333,0.4423686617766124,1
CHP1,2,-0.4416639285703909,1.0,0.0003282867204855135,0.5,0.4416639285703909,1
P2RX7,3,0.528166356429534,1.0,0.0005700825823161919,0.3333333333333333,0.440138630357945,1
EFHB,3,-0.879358257358232,1.0,0.014866681311706055,0.0,0.439679128679116,1
LINC01164,2,-0.862987035425124,1.0,0.004005954689645804,0.0,0.431493517712562,1
NCALD,3,-0.8629155644634805,1.0,0.0029836154593187035,0.0,0.43145778223174025,1
PKM,2,-0.42708822885794406,1.0,0.002228193437343202,0.5,0.42708822885794406,1
GFAP,3,0.8470036751661176,1.0,0.0024507363054068394,0.0,0.4235018375830588,1
CARTPT,3,-0.8415498427220112,1.0,0.03244560776539075,0.0,0.4207749213610056,1
TAC1,3,-0.8357512133535692,1.0,0.01607886175153807,0.0,0.4178756066767846,1
SLC38A2,3,0.5004470268434797,1.0,0.0005295908253427112,0.3333333333333333,0.4170391890362331,1
CCKBR,3,-0.832788732010024,1.0,0.014502627354406994,0.0,0.416394366005012,1
ADTRP,2,-0.8327081447565606,1.0,0.027622906157489267,0.0,0.4163540723782803,1
SH2D5,3,-0.4991104733237672,1.0,0.0027777954291878923,0.3333333333333333,0.41592539443647264,1
PCDHGC5,3,-0.4962598278322927,1.0,0.0005760674233993645,0.3333333333333333,0.41354985652691056,1
ZDHHC23,3,-0.8246868219390371,1.0,0.009182600861094755,0.0,0.41234341096951854,1
KCNB2,3,-0.8244810276393766,1.0,0.019348878958820506,0.0,0.4122405138196883,1
GAD1,3,-0.8220035477581007,1.0,0.005908540834759917,0.0,0.41100177387905035,1
LYNX1,3,-0.4893618436649847,1.0,0.00011630638176256192,0.3333333333333333,0.40780153638748723,1
ABCA11P,2,-0.4076649016525143,1.0,0.0009126925795612991,0.5,0.4076649016525143,1
RAMP2-AS1,2,0.40495066217986964,1.0,0.0004833747803942572,0.5,0.40495066217986964,1
CPLX1,3,-0.4803387301070447,1.0,0.0035353270109725727,0.3333333333333333,0.4002822750892039,1
TSPAN7,3,-0.7992562184751808,1.0,0.007498035567886767,0.0,0.3996281092375904,1
CHGB,3,-0.4758295150950555,1.0,0.007897754030409435,0.3333333333333333,0.39652459591254624,1
IPCEF1,2,-0.7835872168754121,1.0,0.006880371692504212,0.0,0.39179360843770605,1
KANK2,3,0.7829652068400517,1.0,0.014387224361884313,0.0,0.39148260342002583,1
