fold,feature,auc_decrease,permutation_sd
0,go_synaptic,-8.326672684688674e-18,0.023383717411762494
0,go_rna_processing,-0.11830065359477127,0.0463038568733556
0,go_neuroinflammation,0.0,0.0
0,go_neuronal,0.09673202614379084,0.06872386629069237
0,go_count,-0.002614379084967319,0.05148070239873259
0,pathway_count,-0.017320261437908505,0.044534462855399505
1,go_synaptic,0.0026143790849673166,0.02070977714739197
1,go_rna_processing,0.0,0.0
1,go_neuroinflammation,-0.0754901960784314,0.06331694075477459
1,go_neuronal,0.07745098039215688,0.06592160232457513
1,go_count,0.06601307189542484,0.050326797385620924
1,pathway_count,-0.17124183006535945,0.052352900377779836
2,go_synaptic,0.002083333333333348,0.028687450443097406
2,go_rna_processing,0.0,0.0
2,go_neuroinflammation,-0.0008928571428571342,0.009274069316001735
2,go_neuronal,0.06547619047619051,0.0918481505880217
2,go_count,-0.0032738095238095065,0.07621546744148633
2,pathway_count,0.018452380952380977,0.015624291367150829
3,go_synaptic,0.016964285714285716,0.04112207884434743
3,go_rna_processing,-0.03869047619047623,0.04306744039026119
3,go_neuroinflammation,-0.02767857142857146,0.039897606686045396
3,go_neuronal,0.20654761904761898,0.06291247114001572
3,go_count,0.1214285714285714,0.08283011327047123
3,pathway_count,0.004166666666666635,0.007068060766093987
4,go_synaptic,0.008284023668639066,0.04554291456779609
4,go_rna_processing,0.0,0.0
4,go_neuroinflammation,-0.002958579881656792,0.010501916774733059
4,go_neuronal,-0.0047337278106508755,0.0874179002812965
4,go_count,0.013905325443786976,0.08745143755356179
4,pathway_count,0.0017751479289940752,0.02382345815289631
