gene,median_log2fc,combined_p,evidence_score,gene_name,gene_type,ad_evidence_level,human_ad_evidence,mechanistic_evidence,synaptic_evidence,tau_evidence,amyloid_evidence,neuroinflammation_evidence,pmid,literature_note,pubmed_total_hits,papers_reviewed_auto,auto_evidence_level,human_hits,mechanistic_hits,synaptic_hits,tau_hits,amyloid_hits,neuroinflammation_hits,pmids_auto,top_titles
VGF,-2.0929046703202907,5.939818476661909e-06,1.7440872252669088,VGF nerve growth factor inducible,protein-coding,strong,yes,yes,yes,unclear,yes,unclear,40095667,Human CSF VGF levels are associated with Alzheimer disease onset and progression; VGF is also implicated in AD-related molecular networks.,81,10,strong_candidate,10,7,5,4,5,1,41186756;40660303;40823340;40334744;40945027;40082954;36912488;41279079;37177846;30349450,"VGF AQEE- and GGEE-peptides differentiate between dementia types. || Proteomic landscape of Alzheimer's disease: emerging technologies, advances and insights (2021 - 2025). || Proteogenomic signature of Alzheimer's disease and related dementia risk in individuals with major depressive disorder. || Discovery of Proteoforms Associated With Alzheimer's Disease Through Quantitative Top-Down Proteomics. || Cognitive resilience in preclinical Alzheimer's disease: Higher NPTX2 and VGF levels are associated with reduced cognitive decline."
RPH3A,-1.5832182897068794,5.157783410583074e-06,1.3193485747557328,rabphilin 3A,protein-coding,strong,yes,yes,yes,limited,yes,unclear,24200817,RPH3A is reduced in postmortem AD neocortex and correlates with dementia severity and amyloid burden; Aβ exposure also reduces RPH3A in cultured neurons.,7,7,moderate_candidate,5,5,4,1,2,2,41509242;39134564;39872979;38394722;32609320;24200817;42753521,Kv1.3 inhibition alleviates neuropathology via neuroinflammatory and resilience pathways in a mouse model of Abeta pathology. || Multiple Transcriptomic Analyses Explore Potential Synaptic Biomarker Rabphilin-3A for Alzheimer's Disease. || Neuroinflammation mediates the progression of neonate hypoxia-ischemia brain damage to Alzheimer's disease: a bioinformatics and experimental study. || Associations of brain morphology with cortical proteins of cognitive resilience. || Cortical Proteins Associated With Cognitive Resilience in Community-Dwelling Older Persons.
NEUROD6,-1.4229184371828634,5.721513915920362e-05,1.1857653643190529,neuronal differentiation 6,protein-coding,strong,yes,limited,yes,unclear,unclear,unclear,25548427,NEUROD6 was consistently downregulated in Alzheimer brain RNA-seq datasets from independent cohorts.,6,6,moderate_candidate,3,2,2,0,0,1,39215110;26202100;26433351;26395074;25548427;20517466,Unveiling disulfidptosis-related biomarkers and predicting drugs in Alzheimer's disease. || Integrated genomic approaches identify major pathways and upstream regulators in late onset Alzheimer's disease. || Linkage analyses in Caribbean Hispanic families identify novel loci associated with familial late-onset Alzheimer's disease. || Leveraging existing data sets to generate new insights into Alzheimer's disease biology in specific patient subsets. || RNA-Seq data mining: downregulation of NeuroD6 serves as a possible biomarker for alzheimer's disease brains.
FKBP5,1.20251965462713,0.0034837466156288,1.002099712189275,FKBP prolyl isomerase 5,protein-coding,strong,yes,yes,limited,yes,limited,unclear,23999428,"FKBP51, encoded by FKBP5, stabilizes tau through Hsp90-related mechanisms; levels increase with age and Alzheimer disease progression.",26,10,strong_candidate,7,10,4,2,2,6,38934263;38528004;41368712;30898012;41519279;34024231;41490158;39465382;37066393;35292372,SKArred 2 death: neuroinflammatory breakdown of the hippocampus. || SKA2 regulated hyperactive secretory autophagy drives neuroinflammation-induced neurodegeneration. || Relationships between sarcopenia and Alzheimer's disease: screening for mitochondria-related biomarkers. || Activation of PPARA-mediated autophagy reduces Alzheimer disease-like pathology and cognitive decline in a murine model. || Elevated FKBP5 expression associates with epilepsy-related molecular changes and promotes neuronal hyperexcitability.
PPEF1,-1.046326136212511,0.0007226113136796,0.871938446843759,protein phosphatase with EF-hand domain 1,protein-coding,moderate,yes,limited,limited,unclear,unclear,limited,26202100;39215110,"PPEF1 has been repeatedly implicated in transcriptomic and bioinformatic analyses of late-onset Alzheimer disease, including large meta-analysis work.",4,4,moderate_candidate,1,2,0,0,0,1,39215110;41500484;31816601;26202100,Unveiling disulfidptosis-related biomarkers and predicting drugs in Alzheimer's disease. || ERAPID: an end‑to‑end RNA‑seq analysis pipeline for integrative candidate biomarker discovery with applications to neuropsychiatric disorders. || Identification of molecular correlations of RBM8A with autophagy in Alzheimer's disease. || Integrated genomic approaches identify major pathways and upstream regulators in late onset Alzheimer's disease.
CRH,-1.036925261482761,0.0002661564775102,0.8641043845689675,corticotropin releasing hormone,protein-coding,moderate,yes,yes,limited,unclear,limited,unclear,3029628;3502064;11442356,Reduced CRH has been reported in Alzheimer cortex and CSF; experimental work suggests CRH may influence neuronal responses to AD-relevant stressors.,84,10,strong_candidate,6,7,4,3,4,1,37704597;41113932;42216384;41480410;35221911;40661363;30837843;34901719;2173839;32382294,CSF proteome profiling reveals biomarkers to discriminate dementia with Lewy bodies from Alzheimer s disease. || Predictive gene expression signatures for Alzheimer's disease using post-mortem brain tissue. || Common biomarkers of Alzheimer disease and postoperative delirium. || Hippocampus-targeted BDNF gene therapy to rescue cognitive impairments of Alzheimer's disease in multiple mouse models. || Identification of Molecular Signatures and Candidate Drugs in Vascular Dementia by Bioinformatics Analyses.
MAS1,-0.9647771907829426,0.0008807607372346,0.8039809923191187,"MAS1 proto-oncogene, G protein-coupled receptor",protein-coding,strong,yes,yes,yes,yes,yes,yes,37813091;32701063,MAS1 expression is reduced at advanced Braak stages and inversely related to amyloid and tau load in human cortex; experimental activation of the ACE2/Ang-(1-7)/MAS1 axis improves AD-like pathology in mice.,6,6,moderate_candidate,1,4,2,2,4,4,37813091;36755969;34901930;32701063;29667931;42496823,"Altered Gene Expression Within the Renin-Angiotensin System in Normal Aging and Dementia. || AVE 0991 Suppresses Astrocyte-Mediated Neuroinflammation of Alzheimer's Disease by Enhancing Autophagy. || Angiotensin (1-7) Expressing Probiotic as a Potential Treatment for Dementia. || ACE2 activator diminazene aceturate ameliorates Alzheimer's disease-like neuropathology and rescues cognitive impairment in SAMP8 mice. || AVE0991, a nonpeptide analogue of Ang-(1-7), attenuates aging-related neuroinflammation."
NRN1,-0.9407119325868752,0.0004677560793853,0.7839266104890626,neuritin 1,protein-coding,strong,yes,yes,yes,yes,limited,unclear,37024090;41645874;40296620,NRN1 is associated with cognitive resilience to Alzheimer pathology and has been investigated as an AD therapeutic target; recent work also links it to tau-related mechanisms.,12,10,strong_candidate,7,9,6,2,4,0,40660303;38478169;41645874;31176712;38165375;33678755;32609320;37799623;26423933;37024090,"Proteomic landscape of Alzheimer's disease: emerging technologies, advances and insights (2021 - 2025). || Analysis and experimental validation of necroptosis-related molecular classification, immune signature and feature genes in Alzheimer's disease. || NRN1 as a therapeutic target for Alzheimer's disease. || Association of AEBP1 and NRN1 RNA expression with Alzheimer's disease and neurofibrillary tangle density in middle temporal gyrus. || Proteome-wide Analyses Identified Cortical Proteins Associated With Resilience for Varied Cognitive Abilities."
MCHR1,-0.91366670070362,0.0026369313063369,0.7613889172530166,melanin concentrating hormone receptor 1,protein-coding,unclear,unclear,unclear,limited,unclear,unclear,unclear,,"MCHR1 is brain-enriched and neurobiologically relevant, but targeted review did not identify strong direct Alzheimer-specific evidence.",0,0,unclear,0,0,0,0,0,0,,
SCG2,-0.9040129035145216,0.0086170752917527,0.7533440862621013,secretogranin II,protein-coding,moderate,yes,limited,yes,limited,limited,unclear,37160957;41279079;32518535,SCG2 is altered in AD CSF proteomics and is part of a neuronal plasticity/synaptic expression cluster disrupted in AD cortex.,9,9,strong_candidate,8,5,7,4,3,0,41279079;42436533;37160957;34314836;34238925;32518535;37468915;32552841;31248178,"Transcriptomic and protein analysis of human cortex reveals genes and pathways linked to NPTX2 disruption in Alzheimer's disease. || Analytical and clinical validation of a novel proximity extension assay-based plasma biomarker panel in a cohort of prevalent neurodegenerative dementias. || Quantitative Mass Spectrometry Analysis of Cerebrospinal Fluid Protein Biomarkers in Alzheimer's Disease. || Revealing NOTCH-dependencies in synaptic targets associated with Alzheimer's disease. || An increase in VGF expression through a rapid, transcription-independent, autofeedback mechanism improves cognitive function."
