transcript_id,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated
VGF,3,-2.0929046703202907,1.0,5.939818476661909e-06,0.3333333333333333,1.7440872252669088,1
RPH3A,3,-1.5832182897068794,1.0,5.157783410583074e-06,0.3333333333333333,1.3193485747557328,1
NEUROD6,3,-1.4229184371828634,1.0,5.721513915920362e-05,0.3333333333333333,1.1857653643190529,1
FKBP5,3,1.20251965462713,1.0,0.0034837466156288,0.3333333333333333,1.002099712189275,1
PPEF1,3,-1.046326136212511,1.0,0.0007226113136796,0.3333333333333333,0.871938446843759,1
CRH,3,-1.036925261482761,1.0,0.0002661564775102,0.3333333333333333,0.8641043845689675,1
MAS1,3,-0.9647771907829426,1.0,0.0008807607372346,0.3333333333333333,0.8039809923191187,1
NRN1,3,-0.9407119325868752,1.0,0.0004677560793853,0.3333333333333333,0.7839266104890626,1
MCHR1,3,-0.91366670070362,1.0,0.0026369313063369,0.3333333333333333,0.7613889172530166,1
SCG2,3,-0.9040129035145216,1.0,0.0086170752917527,0.3333333333333333,0.7533440862621013,1
ADAMTS2,3,0.8656690105555511,1.0,0.0088987778603084,0.3333333333333333,0.7213908421296259,1
DUSP6,3,-0.8585677226327464,1.0,6.847381093492322e-09,0.3333333333333333,0.7154731021939552,1
ABCC12,3,-0.823728592211697,1.0,2.6357246739019636e-05,0.3333333333333333,0.6864404935097475,1
CPM,3,0.707883304559652,1.0,0.0008664108142573,0.3333333333333333,0.5899027537997099,1
BDNF,3,-0.7005871131380594,1.0,0.003674649622338,0.3333333333333333,0.5838225942817161,1
CEND1,3,-0.6685435145607768,1.0,0.0040994876782954,0.3333333333333333,0.5571195954673139,1
SERPINA5,3,0.6606237518961269,1.0,0.0003055855104729,0.3333333333333333,0.5505197932467724,1
BEX5,3,-0.6477491768298465,1.0,0.0003685511290932,0.3333333333333333,0.5397909806915386,1
ZNF652,3,0.6383090923877681,1.0,0.0075436531645047,0.3333333333333333,0.5319242436564734,1
KRT5,3,-0.6346358720489372,1.0,0.0002351765399151,0.3333333333333333,0.5288632267074477,1
PRKX,3,0.6052423695383164,1.0,0.0001338531053882,0.3333333333333333,0.5043686412819304,1
COL12A1,3,-0.5667024366252562,1.0,0.0019925816404517,0.3333333333333333,0.4722520305210468,1
FIBP,3,-0.5646696147735728,1.0,0.0002835146792549,0.3333333333333333,0.4705580123113106,1
PHF19,3,0.5515909931789547,1.0,0.0019455346129604,0.3333333333333333,0.4596591609824622,1
EFR3B,3,-0.5346195308146546,1.0,0.0013378166173018,0.3333333333333333,0.4455162756788788,1
PDE10A,3,-0.5308423941319349,1.0,0.0003127953367866,0.3333333333333333,0.4423686617766124,1
P2RX7,3,0.528166356429534,1.0,0.0005700825823161,0.3333333333333333,0.440138630357945,1
NCALD,3,-0.8629155644634805,1.0,0.0029836154593187,0.0,0.4314577822317402,1
GFAP,3,0.8470036751661176,1.0,0.0024507363054068,0.0,0.4235018375830588,1
SLC38A2,3,0.5004470268434797,1.0,0.0005295908253427,0.3333333333333333,0.4170391890362331,1
ZDHHC23,3,-0.8246868219390371,1.0,0.0091826008610947,0.0,0.4123434109695185,1
GAD1,3,-0.8220035477581007,1.0,0.0059085408347599,0.0,0.4110017738790503,1
TSPAN7,3,-0.7992562184751808,1.0,0.0074980355678867,0.0,0.3996281092375904,1
HTR3B,3,-0.7619581230560679,1.0,0.0060232060963247,0.0,0.3809790615280339,1
CSF1,3,0.7460248745297351,1.0,0.0033970653980611,0.0,0.3730124372648675,1
UHRF1,3,0.7388361900380738,1.0,0.0091661838123437,0.0,0.3694180950190369,1
DIRAS1,3,-0.7235824188486291,1.0,0.0052414598364815,0.0,0.3617912094243145,1
ARL4D,3,-0.7207203016373466,1.0,0.0001413680281844,0.0,0.3603601508186733,1
IKZF2,3,0.6465830486587203,1.0,0.003484748633878,0.0,0.3232915243293601,1
OGDHL,3,-0.6352570067093737,1.0,0.0070655253462277,0.0,0.3176285033546868,1
ITGB8,3,0.6352392706299028,1.0,0.0037260550504898,0.0,0.3176196353149514,1
PTGS2,3,-0.6223322469133659,1.0,0.0062231209592895,0.0,0.3111661234566829,1
HVCN1,3,0.6156990137240745,1.0,0.0091593413781506,0.0,0.3078495068620372,1
ADAM11,3,-0.6108478658300376,1.0,0.0023829143536041,0.0,0.3054239329150188,1
IRAK2,3,0.6027595137634973,1.0,0.0070721339459424,0.0,0.3013797568817487,1
GRM8,3,-0.5946878372010507,1.0,0.0041610152621408,0.0,0.2973439186005253,1
SHD,3,-0.5890737199722499,1.0,0.0017536129521315,0.0,0.2945368599861249,1
ACSL6,3,-0.5839895152948502,1.0,0.0007458299482065,0.0,0.2919947576474251,1
SNORA77,3,0.5813066196769257,1.0,0.0077744889276409,0.0,0.2906533098384628,1
FBXW7,3,-0.5588569709771969,1.0,0.0067455224999539,0.0,0.2794284854885984,1
JUP,3,0.548871158509213,1.0,0.0025824883973548,0.0,0.2744355792546065,1
RFTN2,3,0.5427608855567154,1.0,0.0085455034509999,0.0,0.2713804427783577,1
PTPN5,3,-0.5358324384316981,1.0,0.0054130173821505,0.0,0.267916219215849,1
GLTP,3,0.5311330551950686,1.0,0.0072279947788541,0.0,0.2655665275975343,1
GRIA3,3,-0.5310144041978022,1.0,0.0040302495144561,0.0,0.2655072020989011,1
ABCD4,3,0.5299572284589207,1.0,0.005753245639479,0.0,0.2649786142294603,1
YWHAG,3,-0.5264359893082284,1.0,0.0057262155265269,0.0,0.2632179946541142,1
CA2,3,0.5230870111641419,1.0,0.0091103708175644,0.0,0.2615435055820709,1
E2F3,3,-0.5228735243096998,1.0,6.448537184651977e-05,0.0,0.2614367621548499,1
RFFL,3,0.5172226310226424,1.0,0.0077011942270294,0.0,0.2586113155113212,1
DPP6,3,-0.5130071940484413,1.0,0.0089005158901476,0.0,0.2565035970242206,1
ADRA1B,3,-0.5084535650347393,1.0,0.0046162758357438,0.0,0.2542267825173696,1
RTKN2,3,-0.5063942728010546,1.0,0.0092848893464303,0.0,0.2531971364005273,1
HES4,3,-0.5033214173394533,1.0,0.0016274327627552,0.0,0.2516607086697267,1
PREP,3,-0.5007703483369292,1.0,0.0006856007427762,0.0,0.2503851741684646,1
