gene,transcript_id,label,fold
AAK1,ENST00000409085.9,0,4
ABCC12,ENST00000311303.8,1,1
ABCD4,ENST00000356924.9,1,3
ACSL6,ENST00000651883.2,1,3
ADAM11,ENST00000200557.11,1,4
ADAMTS2,ENST00000251582.12,1,2
ADRA1B,ENST00000306675.5,1,1
AKR1B1,ENST00000285930.9,0,0
ALDH3B1,ENST00000342456.11,0,4
ANGPTL4,ENST00000301455.7,0,0
ANKRD36B,ENST00000359901.9,0,0
ARL4D,ENST00000320033.5,1,4
ARMC5,ENST00000268314.9,0,4
BDNF,ENST00000356660.9,1,3
BEX5,ENST00000333643.4,1,4
CA2,ENST00000285379.10,1,0
CCDC142,ENST00000393965.8,0,4
CEND1,ENST00000330106.5,1,0
CMAS,ENST00000229329.7,0,0
COL12A1,ENST00000322507.13,1,2
CPM,ENST00000551568.6,1,1
CRH,ENST00000276571.5,1,3
CSF1,ENST00000329608.11,1,1
CYBRD1,ENST00000321348.9,0,0
DDI1,ENST00000302259.5,0,4
DIRAS1,ENST00000323469.5,1,3
DPP6,ENST00000377770.8,1,3
DTX3,ENST00000337737.8,0,3
DUSP6,ENST00000279488.8,1,1
E2F3,ENST00000346618.8,1,1
EFR3B,ENST00000403714.8,1,4
ENAH,ENST00000366843.7,0,2
ETHE1,ENST00000292147.7,0,0
F8,ENST00000360256.9,0,0
FBXO30,ENST00000237281.5,0,1
FBXW7,ENST00000281708.10,1,2
FIBP,ENST00000357519.9,1,1
FKBP5,ENST00000357266.9,1,1
FOXS1,ENST00000375978.5,0,1
GAD1,ENST00000358196.8,1,1
GALNT6,ENST00000356317.8,0,4
GFAP,ENST00000588735.3,1,4
GJA5,ENST00000579774.3,0,0
GLTP,ENST00000318348.9,1,1
GNL3,ENST00000418458.6,0,3
GPR141,ENST00000334425.2,0,1
GPR180,ENST00000376958.5,0,0
GPR78,ENST00000382487.5,0,4
GRIA3,ENST00000620443.2,1,4
GRM8,ENST00000339582.7,1,2
HABP2,ENST00000351270.4,0,2
HES4,ENST00000304952.11,1,0
HTR3B,ENST00000260191.8,1,2
HVCN1,ENST00000242607.13,1,2
HYOU1,ENST00000617285.5,0,0
IGFBP3,ENST00000613132.5,0,2
IKZF2,ENST00000434687.6,1,2
IL12RB1,ENST00000593993.7,0,2
IRAK2,ENST00000256458.5,1,4
ITGB8,ENST00000222573.5,1,0
JMJD1C,ENST00000399262.7,0,3
JUP,ENST00000393931.8,1,1
KCTD13,ENST00000568000.6,0,2
KRT17,ENST00000311208.13,0,0
KRT5,ENST00000252242.9,1,1
MAS1,ENST00000674077.2,1,3
MCHR1,ENST00000249016.5,1,4
MRGPRE,ENST00000389832.7,0,1
NCALD,ENST00000220931.11,1,0
NEUROD6,ENST00000297142.4,1,0
NMB,ENST00000360476.8,0,1
NRN1,ENST00000244766.7,1,2
NTN1,ENST00000173229.7,0,2
OGDHL,ENST00000374103.9,1,4
P2RX7,ENST00000328963.10,1,2
PCTP,ENST00000268896.10,0,3
PDE10A,ENST00000539869.4,1,2
PHF19,ENST00000373896.8,1,0
PHF20L1,ENST00000395386.7,0,3
PPEF1,ENST00000470157.2,1,2
PPP2R2A,ENST00000380737.8,0,2
PREP,ENST00000652536.2,1,4
PRKX,ENST00000262848.6,1,4
PRPF40A,ENST00000545856.8,0,3
PTGS2,ENST00000367468.10,1,1
PTPN5,ENST00000358540.7,1,1
PVALB,ENST00000417718.7,0,4
RCE1,ENST00000309657.8,0,0
RFFL,ENST00000394597.7,1,1
RFTN2,ENST00000295049.9,1,4
RNF175,ENST00000347063.9,0,0
RPH3A,ENST00000389385.9,1,3
RPL27A,ENST00000314138.11,0,4
RPL39,ENST00000361575.4,0,1
RPL39L,ENST00000296277.9,0,2
RPS6KA3,ENST00000379565.9,0,0
RSPO1,ENST00000356545.7,0,3
RTKN2,ENST00000373789.8,1,3
SCG2,ENST00000305409.3,1,3
SELP,ENST00000263686.11,0,4
SERPINA5,ENST00000329597.12,1,1
SERPINB13,ENST00000344731.10,0,1
SHD,ENST00000543264.7,1,1
SLC12A7,ENST00000264930.10,0,0
SLC22A25,ENST00000306494.11,0,4
SLC25A12,ENST00000422440.7,0,2
SLC29A2,ENST00000357440.7,0,3
SLC38A2,ENST00000256689.10,1,0
SNORA77,ENST00000408716.1,1,3
SNORD46,ENST00000364043.1,0,1
SPTLC2,ENST00000216484.7,0,4
SRXN1,ENST00000381962.4,0,0
STAM2,ENST00000263904.5,0,3
TMED8,ENST00000216468.8,0,3
TMEM100,ENST00000424486.3,0,4
TMEM14A,ENST00000211314.5,0,1
TMEM214,ENST00000238788.14,0,0
TRIM16L,ENST00000641182.1,0,2
TSPAN7,ENST00000378482.7,1,2
TSSK3,ENST00000373534.4,0,2
TXNDC17,ENST00000250101.10,0,3
UHRF1,ENST00000650932.1,1,3
VGF,ENST00000249330.3,1,2
YWHAG,ENST00000307630.5,1,2
ZDHHC23,ENST00000638807.2,1,4
ZMIZ2,ENST00000309315.9,0,3
ZNF157,ENST00000377073.4,0,2
ZNF219,ENST00000360947.8,0,3
ZNF417,ENST00000312026.6,0,3
ZNF652,ENST00000430262.3,1,0
