gene,annotation_status,go_terms,pathways,annotation_url,go_synaptic,go_rna_processing,go_neuroinflammation,go_neuronal,go_count,pathway_count,prior_go_terms,prior_pathways,manual_ad_evidence_level,manual_human_ad_evidence,manual_mechanistic_evidence,manual_synaptic_evidence,manual_tau_evidence,manual_amyloid_evidence,manual_neuroinflammation_evidence,manual_pmid,manual_literature_note,manual_ad_evidence_level_encoded,manual_human_ad_evidence_encoded,manual_mechanistic_evidence_encoded,manual_synaptic_evidence_encoded,manual_tau_evidence_encoded,manual_amyloid_evidence_encoded,manual_neuroinflammation_evidence_encoded,manual_review_status,automated_pubmed_total_hits,automated_papers_reviewed_auto,automated_auto_evidence_level,automated_human_hits,automated_mechanistic_hits,automated_synaptic_hits,automated_tau_hits,automated_amyloid_hits,automated_neuroinflammation_hits,automated_pmids_auto
VGF,queried,Golgi apparatus; cytoplasmic vesicle; endoplasmic reticulum lumen; extracellular region; neuropeptide hormone activity; regulation of neuronal synaptic plasticity; response to cAMP; signal transduction; synapse; synaptic signaling via neuropeptide; transport vesicle,reactome: Metabolism of proteins; reactome: NGF-stimulated transcription; reactome: Nuclear Events (kinase and transcription factor activation); reactome: Post-translational protein modification; reactome: Post-translational protein phosphorylation; reactome: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); reactome: Signal Transduction; reactome: Signaling by NTRK1 (TRKA); reactome: Signaling by NTRKs; reactome: Signaling by Receptor Tyrosine Kinases,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000128564&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,1,0,0,1,11,10,Golgi apparatus; cytoplasmic vesicle; endoplasmic reticulum lumen; extracellular region; neuropeptide hormone activity; regulation of neuronal synaptic plasticity; response to cAMP; signal transduction; synapse; synaptic signaling via neuropeptide; transport vesicle,reactome: Metabolism of proteins; reactome: NGF-stimulated transcription; reactome: Nuclear Events (kinase and transcription factor activation); reactome: Post-translational protein modification; reactome: Post-translational protein phosphorylation; reactome: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); reactome: Signal Transduction; reactome: Signaling by NTRK1 (TRKA); reactome: Signaling by NTRKs; reactome: Signaling by Receptor Tyrosine Kinases,strong,yes,yes,yes,unclear,yes,unclear,40095667,Human CSF VGF levels are associated with Alzheimer disease onset and progression; VGF is also implicated in AD-related molecular networks.,3.0,1.0,1.0,1.0,,1.0,,reviewed,81.0,10.0,strong_candidate,10.0,7.0,5.0,4.0,5.0,1.0,41186756;40660303;40823340;40334744;40945027;40082954;36912488;41279079;37177846;30349450
RPH3A,queried,"calcium ion binding; calcium-dependent activation of synaptic vesicle fusion; calcium-dependent phospholipid binding; dendritic spine; extrinsic component of membrane; extrinsic component of synaptic vesicle membrane; inositol 1,4,5 trisphosphate binding; intracellular protein transport; membrane; neuron projection; phosphate ion binding; phosphatidylinositol phosphate binding; phosphatidylinositol-4,5-bisphosphate binding; positive regulation of calcium ion-dependent exocytosis; postsynaptic membrane; protein binding; protein-containing complex; protein-containing complex binding; secretory granule; selenium binding; small GTPase binding; synapse; synaptic vesicle; synaptic vesicle membrane; synaptic vesicle priming; zinc ion binding",wikipathways: Deregulation of Rab and Rab Effector Genes in Bladder Cancer; wikipathways: Disruption of postsynaptic signaling by CNV,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000089169&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,1,0,0,1,26,2,"calcium ion binding; calcium-dependent activation of synaptic vesicle fusion; calcium-dependent phospholipid binding; dendritic spine; extrinsic component of membrane; extrinsic component of synaptic vesicle membrane; inositol 1,4,5 trisphosphate binding; intracellular protein transport; membrane; neuron projection; phosphate ion binding; phosphatidylinositol phosphate binding; phosphatidylinositol-4,5-bisphosphate binding; positive regulation of calcium ion-dependent exocytosis; postsynaptic membrane; protein binding; protein-containing complex; protein-containing complex binding; secretory granule; selenium binding; small GTPase binding; synapse; synaptic vesicle; synaptic vesicle membrane; synaptic vesicle priming; zinc ion binding",wikipathways: Deregulation of Rab and Rab Effector Genes in Bladder Cancer; wikipathways: Disruption of postsynaptic signaling by CNV,strong,yes,yes,yes,limited,yes,unclear,24200817,RPH3A is reduced in postmortem AD neocortex and correlates with dementia severity and amyloid burden; Aβ exposure also reduces RPH3A in cultured neurons.,3.0,1.0,1.0,1.0,1.0,1.0,,reviewed,7.0,7.0,moderate_candidate,5.0,5.0,4.0,1.0,2.0,2.0,41509242;39134564;39872979;38394722;32609320;24200817;42753521
NEUROD6,queried,"DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; E-box binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; axon development; chromatin; nervous system development; nucleus; positive regulation of transcription by RNA polymerase II; protein dimerization activity; regulation of DNA-templated transcription; sensory organ development",,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000164600&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,1,12,0,"DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; E-box binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; axon development; chromatin; nervous system development; nucleus; positive regulation of transcription by RNA polymerase II; protein dimerization activity; regulation of DNA-templated transcription; sensory organ development",,strong,yes,limited,yes,unclear,unclear,unclear,25548427,NEUROD6 was consistently downregulated in Alzheimer brain RNA-seq datasets from independent cohorts.,3.0,1.0,1.0,1.0,,,,reviewed,6.0,6.0,moderate_candidate,3.0,2.0,2.0,0.0,0.0,1.0,39215110;26202100;26433351;26395074;25548427;20517466
FKBP5,queried,FK506 binding; cytoplasm; cytosol; extracellular exosome; heat shock protein binding; membrane; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; nucleus; peptidyl-prolyl cis-trans isomerase activity; protein binding; protein folding; protein-macromolecule adaptor activity,kegg: Estrogen signaling pathway - Homo sapiens (human); netpath: TNFalpha; pid: Glucocorticoid receptor regulatory network; reactome: Cellular responses to stimuli; reactome: Cellular responses to stress; reactome: Cytokine Signaling in Immune system; reactome: ESR-mediated signaling; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; reactome: Immune System; reactome: Interferon Signaling; reactome: MECP2 regulates neuronal receptors and channels; reactome: Modulation of host responses by IFN-stimulated genes; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by Nuclear Receptors; reactome: Transcriptional Regulation by MECP2; wikipathways: Farnesoid X receptor pathway; wikipathways: MECP2 and Associated Rett Syndrome; wikipathways: Nuclear Receptors Meta-Pathway,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000096060&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,12,21,FK506 binding; cytoplasm; cytosol; extracellular exosome; heat shock protein binding; membrane; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; nucleus; peptidyl-prolyl cis-trans isomerase activity; protein binding; protein folding; protein-macromolecule adaptor activity,kegg: Estrogen signaling pathway - Homo sapiens (human); netpath: TNFalpha; pid: Glucocorticoid receptor regulatory network; reactome: Cellular responses to stimuli; reactome: Cellular responses to stress; reactome: Cytokine Signaling in Immune system; reactome: ESR-mediated signaling; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; reactome: Immune System; reactome: Interferon Signaling; reactome: MECP2 regulates neuronal receptors and channels; reactome: Modulation of host responses by IFN-stimulated genes; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by Nuclear Receptors; reactome: Transcriptional Regulation by MECP2; wikipathways: Farnesoid X receptor pathway; wikipathways: MECP2 and Associated Rett Syndrome; wikipathways: Nuclear Receptors Meta-Pathway,strong,yes,yes,limited,yes,limited,unclear,23999428,"FKBP51, encoded by FKBP5, stabilizes tau through Hsp90-related mechanisms; levels increase with age and Alzheimer disease progression.",3.0,1.0,1.0,1.0,1.0,1.0,,reviewed,26.0,10.0,strong_candidate,7.0,10.0,4.0,2.0,2.0,6.0,38934263;38528004;41368712;30898012;41519279;34024231;41490158;39465382;37066393;35292372
PPEF1,queried,calcium ion binding; cytosol; detection of stimulus involved in sensory perception; hydrolase activity; iron ion binding; manganese ion binding; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator; nucleus; phosphoprotein phosphatase activity; positive regulation of proteasomal protein catabolic process; protein binding; protein serine/threonine phosphatase activity,"reactome: Inactivation, recovery and regulation of the phototransduction cascade; reactome: Sensory Perception; reactome: The phototransduction cascade; reactome: Visual phototransduction",https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000086717&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,12,4,calcium ion binding; cytosol; detection of stimulus involved in sensory perception; hydrolase activity; iron ion binding; manganese ion binding; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator; nucleus; phosphoprotein phosphatase activity; positive regulation of proteasomal protein catabolic process; protein binding; protein serine/threonine phosphatase activity,"reactome: Inactivation, recovery and regulation of the phototransduction cascade; reactome: Sensory Perception; reactome: The phototransduction cascade; reactome: Visual phototransduction",moderate,yes,limited,limited,unclear,unclear,limited,26202100;39215110,"PPEF1 has been repeatedly implicated in transcriptomic and bioinformatic analyses of late-onset Alzheimer disease, including large meta-analysis work.",2.0,1.0,1.0,1.0,,,1.0,reviewed,4.0,4.0,moderate_candidate,1.0,2.0,0.0,0.0,0.0,1.0,39215110;41500484;31816601;26202100
CRH,queried,"chemical synaptic transmission; corticotropin-releasing hormone activity; corticotropin-releasing hormone receptor 1 binding; corticotropin-releasing hormone receptor 2 binding; extracellular region; female pregnancy; general adaptation syndrome; hormone activity; learning or memory; negative regulation of circadian sleep/wake cycle, REM sleep; neuronal cell body; neuropeptide hormone activity; neuropeptide signaling pathway; parturition; positive regulation of circadian sleep/wake cycle, wakefulness; positive regulation of corticotropin secretion; positive regulation of cortisol secretion; protein binding; regulation of NMDA receptor activity; signal transduction; signaling receptor binding; social behavior; synapse; synaptic transmission, dopaminergic",kegg: Alcoholism - Homo sapiens (human); kegg: Cushing syndrome - Homo sapiens (human); kegg: Long-term depression - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); netpath: CRH; reactome: Class B/2 (Secretin family receptors); reactome: G alpha (s) signalling events; reactome: GPCR downstream signalling; reactome: GPCR ligand binding; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: MECP2 regulates transcription of neuronal ligands; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: Transcriptional Regulation by MECP2; wikipathways: Corticotropin-releasing hormone signaling pathway; wikipathways: Myometrial relaxation and contraction pathways; wikipathways: Serotonin and anxiety; wikipathways: Serotonin and anxiety-related events,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000147571&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,1,0,0,1,24,20,"chemical synaptic transmission; corticotropin-releasing hormone activity; corticotropin-releasing hormone receptor 1 binding; corticotropin-releasing hormone receptor 2 binding; extracellular region; female pregnancy; general adaptation syndrome; hormone activity; learning or memory; negative regulation of circadian sleep/wake cycle, REM sleep; neuronal cell body; neuropeptide hormone activity; neuropeptide signaling pathway; parturition; positive regulation of circadian sleep/wake cycle, wakefulness; positive regulation of corticotropin secretion; positive regulation of cortisol secretion; protein binding; regulation of NMDA receptor activity; signal transduction; signaling receptor binding; social behavior; synapse; synaptic transmission, dopaminergic",kegg: Alcoholism - Homo sapiens (human); kegg: Cushing syndrome - Homo sapiens (human); kegg: Long-term depression - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); netpath: CRH; reactome: Class B/2 (Secretin family receptors); reactome: G alpha (s) signalling events; reactome: GPCR downstream signalling; reactome: GPCR ligand binding; reactome: Gene expression (Transcription); reactome: Generic Transcription Pathway; reactome: MECP2 regulates transcription of neuronal ligands; reactome: RNA Polymerase II Transcription; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: Transcriptional Regulation by MECP2; wikipathways: Corticotropin-releasing hormone signaling pathway; wikipathways: Myometrial relaxation and contraction pathways; wikipathways: Serotonin and anxiety; wikipathways: Serotonin and anxiety-related events,moderate,yes,yes,limited,unclear,limited,unclear,3029628;3502064;11442356,Reduced CRH has been reported in Alzheimer cortex and CSF; experimental work suggests CRH may influence neuronal responses to AD-relevant stressors.,2.0,1.0,1.0,1.0,,1.0,,reviewed,84.0,10.0,strong_candidate,6.0,7.0,4.0,3.0,4.0,1.0,37704597;41113932;42216384;41480410;35221911;40661363;30837843;34901719;2173839;32382294
MAS1,queried,C-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; angiotensin receptor activity; angiotensin type II receptor activity; cell migration; chemokine-mediated signaling pathway; membrane; peptide binding; phospholipase C-activating angiotensin-activated signaling pathway; plasma membrane; protein binding,"kegg: Coronavirus disease - COVID-19 - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); kegg: Renin-angiotensin system - Homo sapiens (human); reactome: Class A/1 (Rhodopsin-like receptors); reactome: GPCR ligand binding; reactome: Peptide ligand-binding receptors; reactome: Signal Transduction; reactome: Signaling by GPCR; wikipathways: ACE Inhibitor Pathway; wikipathways: GPCRs, Class A Rhodopsin-like; wikipathways: SARS-CoV-2 and angiotensin-converting enzyme 2 receptor- molecular mechanisms",https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000130368&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,12,11,C-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; angiotensin receptor activity; angiotensin type II receptor activity; cell migration; chemokine-mediated signaling pathway; membrane; peptide binding; phospholipase C-activating angiotensin-activated signaling pathway; plasma membrane; protein binding,"kegg: Coronavirus disease - COVID-19 - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); kegg: Renin-angiotensin system - Homo sapiens (human); reactome: Class A/1 (Rhodopsin-like receptors); reactome: GPCR ligand binding; reactome: Peptide ligand-binding receptors; reactome: Signal Transduction; reactome: Signaling by GPCR; wikipathways: ACE Inhibitor Pathway; wikipathways: GPCRs, Class A Rhodopsin-like; wikipathways: SARS-CoV-2 and angiotensin-converting enzyme 2 receptor- molecular mechanisms",strong,yes,yes,yes,yes,yes,yes,37813091;32701063,MAS1 expression is reduced at advanced Braak stages and inversely related to amyloid and tau load in human cortex; experimental activation of the ACE2/Ang-(1-7)/MAS1 axis improves AD-like pathology in mice.,3.0,1.0,1.0,1.0,1.0,1.0,1.0,reviewed,6.0,6.0,moderate_candidate,1.0,4.0,2.0,2.0,4.0,4.0,37813091;36755969;34901930;32701063;29667931;42496823
NRN1,queried,AMPA glutamate receptor complex; extracellular region; glutamatergic synapse; identical protein binding; nervous system development; neuron projection extension; plasma membrane; presynapse; presynaptic modulation of chemical synaptic transmission; regulation of synapse maturation; synapse,reactome: Metabolism of proteins; reactome: Post-translational modification: synthesis of GPI-anchored proteins; reactome: Post-translational protein modification; wikipathways: IL-18 signaling pathway,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000124785&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,1,0,0,1,11,4,AMPA glutamate receptor complex; extracellular region; glutamatergic synapse; identical protein binding; nervous system development; neuron projection extension; plasma membrane; presynapse; presynaptic modulation of chemical synaptic transmission; regulation of synapse maturation; synapse,reactome: Metabolism of proteins; reactome: Post-translational modification: synthesis of GPI-anchored proteins; reactome: Post-translational protein modification; wikipathways: IL-18 signaling pathway,strong,yes,yes,yes,yes,limited,unclear,37024090;41645874;40296620,NRN1 is associated with cognitive resilience to Alzheimer pathology and has been investigated as an AD therapeutic target; recent work also links it to tau-related mechanisms.,3.0,1.0,1.0,1.0,1.0,1.0,,reviewed,12.0,10.0,strong_candidate,7.0,9.0,6.0,2.0,4.0,0.0,40660303;38478169;41645874;31176712;38165375;33678755;32609320;37799623;26423933;37024090
MCHR1,queried,9+0 non-motile cilium; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway; ciliary membrane; cilium; energy homeostasis; feeding behavior; generation of precursor metabolites and energy; hormone binding; melanin-concentrating hormone receptor activity; membrane; neuron projection; neuropeptide binding; neuropeptide receptor activity; neuropeptide signaling pathway; non-motile cilium; phospholipase C-activating G protein-coupled receptor signaling pathway; plasma membrane; positive regulation of calcium ion transport; positive regulation of cytosolic calcium ion concentration; protein binding; regulation of feeding behavior; response to stress; signaling receptor binding; sleep,"kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); reactome: Assembly of the 9+0 primary cilium; reactome: BBSome-mediated cargo-targeting to cilium; reactome: Cargo trafficking to the periciliary membrane; reactome: Cilium Assembly; reactome: Class A/1 (Rhodopsin-like receptors); reactome: G alpha (i) signalling events; reactome: G alpha (q) signalling events; reactome: GPCR downstream signalling; reactome: GPCR ligand binding; reactome: Organelle biogenesis and maintenance; reactome: Peptide ligand-binding receptors; reactome: Signal Transduction; reactome: Signaling by GPCR; wikipathways: GPCRs, Class A Rhodopsin-like",https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000128285&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,1,27,15,9+0 non-motile cilium; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway; ciliary membrane; cilium; energy homeostasis; feeding behavior; generation of precursor metabolites and energy; hormone binding; melanin-concentrating hormone receptor activity; membrane; neuron projection; neuropeptide binding; neuropeptide receptor activity; neuropeptide signaling pathway; non-motile cilium; phospholipase C-activating G protein-coupled receptor signaling pathway; plasma membrane; positive regulation of calcium ion transport; positive regulation of cytosolic calcium ion concentration; protein binding; regulation of feeding behavior; response to stress; signaling receptor binding; sleep,"kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); reactome: Assembly of the 9+0 primary cilium; reactome: BBSome-mediated cargo-targeting to cilium; reactome: Cargo trafficking to the periciliary membrane; reactome: Cilium Assembly; reactome: Class A/1 (Rhodopsin-like receptors); reactome: G alpha (i) signalling events; reactome: G alpha (q) signalling events; reactome: GPCR downstream signalling; reactome: GPCR ligand binding; reactome: Organelle biogenesis and maintenance; reactome: Peptide ligand-binding receptors; reactome: Signal Transduction; reactome: Signaling by GPCR; wikipathways: GPCRs, Class A Rhodopsin-like",unclear,unclear,unclear,limited,unclear,unclear,unclear,,"MCHR1 is brain-enriched and neurobiologically relevant, but targeted review did not identify strong direct Alzheimer-specific evidence.",,,,1.0,,,,reviewed,0.0,0.0,unclear,0.0,0.0,0.0,0.0,0.0,0.0,
SCG2,queried,MAPK cascade; angiogenesis; chemoattractant activity; cytokine activity; dense core granule; endoplasmic reticulum lumen; endothelial cell migration; eosinophil chemotaxis; extracellular region; induction of positive chemotaxis; inflammatory response; intracellular signal transduction; negative regulation of endothelial cell apoptotic process; negative regulation of endothelial cell proliferation; negative regulation of extrinsic apoptotic signaling pathway; neuronal dense core vesicle; positive chemotaxis; positive regulation of endothelial cell proliferation; protein binding; protein secretion; secretory granule,reactome: Metabolism of proteins; reactome: Post-translational protein modification; reactome: Post-translational protein phosphorylation; reactome: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000171951&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,1,1,21,4,MAPK cascade; angiogenesis; chemoattractant activity; cytokine activity; dense core granule; endoplasmic reticulum lumen; endothelial cell migration; eosinophil chemotaxis; extracellular region; induction of positive chemotaxis; inflammatory response; intracellular signal transduction; negative regulation of endothelial cell apoptotic process; negative regulation of endothelial cell proliferation; negative regulation of extrinsic apoptotic signaling pathway; neuronal dense core vesicle; positive chemotaxis; positive regulation of endothelial cell proliferation; protein binding; protein secretion; secretory granule,reactome: Metabolism of proteins; reactome: Post-translational protein modification; reactome: Post-translational protein phosphorylation; reactome: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),moderate,yes,limited,yes,limited,limited,unclear,37160957;41279079;32518535,SCG2 is altered in AD CSF proteomics and is part of a neuronal plasticity/synaptic expression cluster disrupted in AD cortex.,2.0,1.0,1.0,1.0,1.0,1.0,,reviewed,9.0,9.0,strong_candidate,8.0,5.0,7.0,4.0,3.0,0.0,41279079;42436533;37160957;34314836;34238925;32518535;37468915;32552841;31248178
